T_SG_FULFILL_TRANSACTION,TRANSACTION_ID,TRANSACTION_TYPE
T_SG_FULFILL_DOCUMENT_TYPE,DOCUMENT_TYPE_ID,DOCUMENT_TYPE
T_SG_FULFILL_RULE_STATUS,STATUS_ID,STATUS_TYPE
T_SG_FULFILL_DOC_CLUB_TYPE,DOC_CLUB_TYPE_ID,DOC_CLUB_TYPE_NAME
T_SG_FULFILL_RECIPIENT,RECIPIENT_ID,RECIPIENT_TYPE
T_SG_FULFILL_PLATFORM,PLATFORM_ID,PLATFORM_NAME
T_SG_FULFILL_ENVELOPE,ENVELOPE_ID,ENVELOPE_NAME
T_SG_FULFILL_COLOUR,COLOUR_ID,COLOUR_NAME
T_SG_FULFILL_ATTACHMENT_TYPE,ATTACHMENTTYPE_ID,ATTACHMENTTYPE_NAME
T_SG_FULFILL_DELIVERY_MODE,DDELIVERY_MODE_ID,DELIVERY_MODE_NAME
T_SG_FULFILL_INSERT_NAME,INSERT_ID,INSERT_NAME
T_SG_FULFILL_VOUCHERMASTER,VOUCHER_CODE,VOUCHER_NAME
T_SG_LETTER_MASTER_CONFIG,LETTER_ID,LETTER_NAME
T_YES_NO,YES_NO,TYPE_NAME
T_SG_YES_NO,ID,DESCRIPTION
